"species_name","ecomorphology","depth_preference","piscivore","precaudal_count","caudal_count","total_count","ln_pc_ln_c","ln_length_ln_width","ln_ant_length_ln_width","ln_post_length_ln_width","individual","caudal_intervertebral_distance","log_caudal_intervertebral_distance","ln_standard_length"
"nimbochromis linni","shallow benthic","demersal","piscivore",2.62053,2.890372,3.457799,-0.2698414,1.101638,0.000658517,0.7185553,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.51704059693748,0.923083845120238,4.729829084
"nimbochromis livingstonii","shallow benthic","demersal","piscivore",2.602003,2.868937,3.437956,-0.266934,0.975765,-0.2056459,0.6137326,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",1.84216340104547,0.61094064239249,4.944672826
"otopharynx speciosus","shallow benthic","demersal","piscivore",2.639057,2.922812,3.484199,-0.2837548,1.0384188,-0.10194202,0.6662129,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",0.645968489129666,-0.437004554826291,5.280053595
"otopharynx tetrastigma","shallow benthic","demersal","non-piscivore",2.511588,2.833213,3.378596,-0.3216258,0.8789561,-0.1907574,0.4971013,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",0.180944457803209,-1.70956515777408,4.340411357
"pallidochromis tokolosh","diplotaxodon","pelagic","piscivore",2.649704,2.978635,3.521385,-0.3289309,1.216419,0.140489,0.8126109,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.49690803222742,0.915053179312747,4.906968159
"petrotilapia genalutea","mbuna","demersal","non-piscivore",2.70805,2.772589,3.433987,-0.06453852,0.9351713,-0.3991636,0.6402659,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.23025955311821,0.802117970231888,4.592928562
"placidochromis johnstoni","shallow benthic","benthopelagic","non-piscivore",2.564949,2.890372,3.433987,-0.3254224,1.0543525,-0.1367875,0.7028856,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.07833276217603,0.731566015648791,4.800306778
"placidochromis milomo","shallow benthic","benthopelagic","non-piscivore",2.609414,2.808963,3.407755,-0.1995494,0.8661248,-0.1487936,0.4355608,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",0.457267127927585,-0.782487533850475,4.82461089
"rhamphochromis esox","rhamphochromis","pelagic","piscivore",2.864625,3.027755,3.642981,-0.16313,1.50993,0.3552999,1.134107,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.04441834207469,0.715113319733749,5.267141923
"rhamphochromis longiceps","rhamphochromis","pelagic","piscivore",2.843714,2.956429,3.595412,-0.1127154,1.423595,0.2176069,1.073844,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",1.60440127647374,0.472750650521609,5.290292251
"rhamphochromis woodi","rhamphochromis","pelagic","piscivore",2.796056,2.995232,3.594479,-0.1991759,1.3289283,0.2183318,0.9324498,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.10527300309791,0.744445151408068,5.264710944
"trematocranus placodon","shallow benthic","demersal","non-piscivore",2.564949,2.876082,3.42579,-0.3111328,0.8350443,-0.3563582,0.5048886,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.45289104600621,0.897267347659741,5.016678331
"tropheops tropheops","mbuna","demersal","non-piscivore",2.692224,2.792412,3.437399,-0.1001883,0.9617198,-0.2678083,0.6459086,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.16338269727234,0.771673060249342,4.382622707
"rhamphochromis ferox","rhamphochromis","pelagic","piscivore",2.833213,2.995732,3.610918,-0.1625189,1.442085,0.3189677,1.047963,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",3.29389517573531,1.19207080846078,4.12729244
"chilotilapia rhoadesii","shallow benthic","benthopelagic","non-piscivore",2.594593,2.867508,3.433987,-0.2729158,0.8064611,-0.46312,0.4799877,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",1.36322613805354,0.309854050950717,4.57044726
"cheilochromis euchilus","shallow benthic","benthopelagic","non-piscivore",2.564949,2.852266,3.412127,-0.2873168,0.910585,-0.169343,0.4979772,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.47092705122451,0.904593404605701,5.06654986
"diplotaxodon aeneus","diplotaxodon","pelagic","non-piscivore",2.690802,2.889599,3.488585,-0.198797,0.9979125,-0.1410832,0.6154987,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.58811940713012,0.950931514341728,4.52812714
"cynotilapia afra","mbuna","demersal","non-piscivore",2.639057,2.833213,3.433987,-0.194156,1.097446,-0.2591646,0.8119721,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.27747289615137,0.823066449379239,3.9506724
"diplotaxodon argenteus","diplotaxodon","pelagic","piscivore",2.80448,2.915815,3.554964,-0.1113349,1.193263,-0.05362609,0.8533465,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.32512628954159,0.84377435564655,4.77220296
"tyrannochromis macrostoma","shallow benthic","demersal","piscivore",2.583476,2.930922,3.465736,-0.3474458,1.135759,0.08376243,0.7178704,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",3.07777442117426,1.12420674526328,4.9412159
"mylochromis anaphyrmus","shallow benthic","demersal","non-piscivore",2.564949,2.917405,3.449862,-0.352456,0.9854308,-0.110963,0.5929791,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.2370829761067,0.805172774402422,4.54079059
"tramitichromis brevis","deep benthic","demersal","non-piscivore",2.63905733,2.833213344,3.433987204,-0.194156014,0.870073168,-0.248458214,0.501317473,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.84657642360307,1.04611701731947,4.16368093
"aulonocara nyassae","deep benthic","benthopelagic","non-piscivore",2.564949357,2.890371758,3.433987204,-0.3254224,0.983144469,-0.100425851,0.583661291,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",3.27529289142519,1.18640729758461,4.61717781
"stigmatochromis macrorhynchos","shallow benthic","benthopelagic","piscivore",2.564949357,2.890371758,3.433987204,-0.3254224,1.189960723,0.071350984,0.800445761,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.60407385897567,0.957077087606013,4.4457793
"copadichromis chrysonotus","utaka","benthopelagic","non-piscivore",2.640449,2.832842,3.434644,-0.1923931,0.9857177,-0.228207,0.6354644,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.15407155664756,0.767359798538755,4.55298281
"protomelas spilopterus","shallow benthic","benthopelagic","piscivore",2.564949,2.833213,3.401197,-0.268264,0.9151426,-0.3061729,0.5694817,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.42377373229823,0.885325719088718,4.4945101
"otopharynx lithobates","shallow benthic","demersal","non-piscivore",2.609414,2.867508,3.440337,-0.2580943,1.087855,-0.000857573,0.69369,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.77530526581292,1.02076074684656,4.49464413
"placidochromis electra","shallow benthic","benthopelagic","non-piscivore",2.639057,2.890372,3.465736,-0.2513144,0.9535882,-0.2606905,0.6594151,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.75261914669709,1.01255287539796,5.04870535
"nimbochromis polystigma","shallow benthic","demersal","piscivore",2.607297,2.85771,3.433987,-0.250413,0.9765792,-0.1810524,0.6090779,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",1.99400309460717,0.690144223497906,4.62935047
